LOCATION,PLOT,YEAR,REP,DM,BM,GY,TGW,F1_OVERALL_1,F1_OVERALL_2,F1_OVERALL_3,F1_OVERALL_4,M2_OVERALL_1,M2_OVERALL_2,M2_OVERALL_3,M2_OVERALL_4,M2_OVERALL_5
hagreselam,759,2013,NA,121,12.5,5.223990357,51.25321143,4,4,4,5,3,3,3,3,2
hagreselam,266,2013,1,121,13.125,4.169414214,NA,4,4,4,4,1,2,3,NA,1
geregera,64,2013,1,145,12.5,3.66848,NA,3,4,4,4,2,2,2,2,2
hagreselam,79,2012,1,117,8.75,2.923111429,40.86518857,3,3,3,3,5,5,4,4,4
geregera,602,NA,2,118,8.333333333,2.264670476,36.43314286,2,2,2,2,4,3,4,4,4
geregera,550,2012,2,136,4.166666667,1.3462,26.5176,3,3,NA,4,4,3,3,3,2
hagreselam,550,2013,2,117,11.25,4.324434,52.9392,4,5,4,4,NA,NA,5,3,4
hagreselam,327,2012,1,116,5.9375,1.802112071,38.39264,4,4,4,4,2,3,3,3,2
hagreselam,369,2013,1,NA,10,3.859396714,52.02048,4,2,3,3,2,2,2,2,3
hagreselam,64,2012,1,117,9.375,3.205528571,30.50148571,2,3,3,3,4,4,3,3,3
hagreselam,731,2013,2,135,12.5,3.247521429,51.92228571,5,4,4,5,3,2,3,2,NA
geregera,79,2012,1,141,7.5,2.0726,41.3832,3,3,NA,3,5,5,4,4,4
hagreselam,136,2013,1,124,6.25,2.603945143,37.44073143,5,*,4,5,2,2,2,2,2
geregera,731,2013,2,154,6.25,1.879131429,43.5,5,4,4,5,3,4,3,3,2
GereGera,780,2013,2,147,1.25,0.317142857,NA,5,NA,4,4,NA,3,3,3,NA
geregera,327,2013,1,167,NA,1.751168571,44.9,3,2,3,3,3,4,3,3,2
geregera,136,2013,1,155,11.25,2.586085714,41.6,4,4,4,4,3,3,4,NA,2
hagreselam,136,2012,1,126,8.75,3.505276143,45.61634286,4,3,3,3,3,4,3,3,4
hagreselam,382,2013,1,120,10.3125,3.546213429,50.44608,3,4,4,4,2,3,1,3,2
hagreselam,502,2012,2,122,8.125,2.919581429,31.73485714,2,3,4,2,4,2,3,NA,3
geregera,266,2012,1,136,3.75,1.094965714,32.20182857,3,2,2,3,2,2,2,2,3
geregera,725,2013,2,147,5,2.059317143,37.7,5,4,4,4,3,3,2,3,3
hagreselam,247,2013,1,NA,5.625,2.111625571,39.84580571,4,NA,4,4,2,2,2,1,2
hagreselam,439,2013,2,141,8.75,2.4317415,45.81504,5,4,5,5,4,4,5,4,5
hagreselam,530,NA,2,117,6.25,1.795821429,32.86450286,4,3,4,4,4,4,4,4,3
